epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,364.43,0.82572,0.49705,0.96225,0.82887,0.85329,0.91215,0.691,0.87494,0.56905,1.01162,0.0008252,0.0008252,0.0008252
91,368.481,0.83468,0.50154,0.97084,0.84288,0.80912,0.89574,0.67255,0.88929,0.57278,1.01116,0.000812,0.000812,0.000812
92,372.523,0.82912,0.49885,0.96191,0.82596,0.82665,0.89585,0.67907,0.88281,0.57604,1.00811,0.0007988,0.0007988,0.0007988
93,376.565,0.81661,0.49431,0.95948,0.83306,0.85628,0.91304,0.69427,0.87207,0.59792,1.01291,0.0007856,0.0007856,0.0007856
94,380.675,0.82091,0.50144,0.96075,0.83357,0.85502,0.91088,0.6905,0.87593,0.58666,1.01529,0.0007724,0.0007724,0.0007724
95,384.682,0.81645,0.48953,0.95332,0.83495,0.85379,0.91143,0.69317,0.87781,0.57378,1.01282,0.0007592,0.0007592,0.0007592
96,388.739,0.81558,0.48884,0.96151,0.83811,0.80725,0.89458,0.67633,0.88493,0.58603,1.00581,0.000746,0.000746,0.000746
97,392.753,0.82349,0.49179,0.95624,0.83022,0.83565,0.90298,0.683,0.87663,0.5719,1.01345,0.0007328,0.0007328,0.0007328
98,396.721,0.80576,0.48713,0.95685,0.81644,0.85938,0.90543,0.68275,0.88823,0.6143,1.01538,0.0007196,0.0007196,0.0007196
99,400.688,0.80912,0.48635,0.96403,0.84135,0.82041,0.89986,0.68223,0.8768,0.58131,1.01461,0.0007064,0.0007064,0.0007064
100,404.691,0.81803,0.49038,0.96076,0.83209,0.84161,0.90752,0.68879,0.87317,0.57262,1.0115,0.0006932,0.0006932,0.0006932
101,408.723,0.81345,0.48564,0.95548,0.82032,0.83646,0.89991,0.6822,0.88357,0.57134,1.0097,0.00068,0.00068,0.00068
102,412.76,0.79329,0.4776,0.952,0.84313,0.80658,0.89419,0.67456,0.88932,0.59248,1.01518,0.0006668,0.0006668,0.0006668
103,416.755,0.80046,0.48042,0.95238,0.83658,0.82079,0.89978,0.67941,0.88588,0.57523,1.01655,0.0006536,0.0006536,0.0006536
104,420.753,0.79178,0.47582,0.95012,0.8342,0.8365,0.90187,0.68319,0.87797,0.57282,1.01284,0.0006404,0.0006404,0.0006404
105,424.804,0.81527,0.48019,0.95165,0.83538,0.8315,0.90303,0.68286,0.87764,0.56451,1.01152,0.0006272,0.0006272,0.0006272
106,428.831,0.79445,0.47526,0.95142,0.82143,0.81116,0.88981,0.67177,0.88757,0.58597,1.01458,0.000614,0.000614,0.000614
107,432.809,0.79182,0.4752,0.95632,0.82914,0.79942,0.88565,0.66784,0.8921,0.58942,1.02163,0.0006008,0.0006008,0.0006008
108,436.828,0.79652,0.47293,0.95425,0.82804,0.86274,0.90694,0.68857,0.88282,0.59034,1.01586,0.0005876,0.0005876,0.0005876
109,440.811,0.80919,0.48781,0.96166,0.82422,0.85904,0.90786,0.69178,0.86809,0.57778,1.01424,0.0005744,0.0005744,0.0005744
110,444.794,0.79069,0.47834,0.95427,0.83014,0.85325,0.90886,0.69076,0.8792,0.56825,1.01626,0.0005612,0.0005612,0.0005612
111,448.805,0.81009,0.47882,0.95359,0.8402,0.83926,0.90701,0.6899,0.87458,0.55658,1.01628,0.000548,0.000548,0.000548
112,452.881,0.7979,0.4739,0.94754,0.83826,0.8402,0.90879,0.68939,0.87646,0.58036,1.01152,0.0005348,0.0005348,0.0005348
113,456.872,0.7885,0.46537,0.94539,0.82962,0.82524,0.89875,0.68482,0.86787,0.57778,1.00784,0.0005216,0.0005216,0.0005216
114,460.846,0.79303,0.47025,0.9447,0.82936,0.84108,0.90591,0.69343,0.85528,0.56136,1.00404,0.0005084,0.0005084,0.0005084
115,464.835,0.7675,0.45748,0.93675,0.8343,0.82946,0.90193,0.68792,0.86194,0.57027,1.0084,0.0004952,0.0004952,0.0004952
116,468.911,0.77471,0.45947,0.93938,0.82344,0.84829,0.90259,0.68655,0.88163,0.57545,1.01013,0.000482,0.000482,0.000482
117,472.925,0.78684,0.46402,0.94138,0.82893,0.85708,0.90655,0.69676,0.85782,0.56608,1.00675,0.0004688,0.0004688,0.0004688
118,476.957,0.77367,0.46143,0.94159,0.82959,0.84651,0.90217,0.6891,0.86549,0.56041,1.01128,0.0004556,0.0004556,0.0004556
119,480.982,0.77242,0.45782,0.94102,0.84506,0.81309,0.89525,0.67838,0.88322,0.57393,1.01474,0.0004424,0.0004424,0.0004424
120,484.987,0.77302,0.46103,0.94155,0.82303,0.8622,0.90798,0.69576,0.85512,0.56301,1.00638,0.0004292,0.0004292,0.0004292
121,489.012,0.75263,0.45195,0.93324,0.83041,0.85662,0.9071,0.69181,0.8664,0.57128,1.01297,0.000416,0.000416,0.000416
122,493.027,0.77304,0.45833,0.94223,0.82484,0.83624,0.90064,0.68744,0.86964,0.57029,1.01101,0.0004028,0.0004028,0.0004028
123,497.05,0.7793,0.45578,0.93861,0.83347,0.8192,0.89862,0.68294,0.87794,0.5646,1.01196,0.0003896,0.0003896,0.0003896
124,501.16,0.78083,0.4581,0.94253,0.81522,0.82629,0.89212,0.67854,0.87493,0.56839,1.01372,0.0003764,0.0003764,0.0003764
125,505.144,0.76749,0.44845,0.93456,0.83201,0.84671,0.90595,0.69215,0.86275,0.56344,1.00631,0.0003632,0.0003632,0.0003632
126,509.226,0.78709,0.45702,0.93679,0.83099,0.8548,0.9061,0.69049,0.87803,0.58129,1.0155,0.00035,0.00035,0.00035
127,513.245,0.77956,0.45252,0.93654,0.83438,0.85111,0.90485,0.69209,0.87139,0.5677,1.0136,0.0003368,0.0003368,0.0003368
128,517.281,0.76871,0.44933,0.93291,0.82369,0.8504,0.90327,0.6886,0.86949,0.57414,1.00993,0.0003236,0.0003236,0.0003236
129,521.309,0.76314,0.44749,0.93755,0.81949,0.8581,0.90561,0.69349,0.8594,0.55529,1.00989,0.0003104,0.0003104,0.0003104
130,525.404,0.76011,0.44166,0.93471,0.82626,0.85457,0.90729,0.69535,0.86297,0.56901,1.01061,0.0002972,0.0002972,0.0002972
131,529.45,0.74715,0.43741,0.93331,0.82457,0.83685,0.9023,0.68899,0.87259,0.57015,1.01188,0.000284,0.000284,0.000284
132,533.472,0.75308,0.43829,0.93238,0.82299,0.85111,0.90344,0.69288,0.86905,0.56876,1.00967,0.0002708,0.0002708,0.0002708
133,537.434,0.75368,0.44422,0.93993,0.82228,0.85692,0.90479,0.69538,0.86584,0.56525,1.01357,0.0002576,0.0002576,0.0002576
134,541.441,0.75638,0.43902,0.93124,0.83247,0.84741,0.90695,0.69696,0.86169,0.56559,1.01564,0.0002444,0.0002444,0.0002444
135,545.5,0.7468,0.43432,0.92846,0.82933,0.85199,0.90635,0.69731,0.85648,0.57311,1.01167,0.0002312,0.0002312,0.0002312
136,549.59,0.77195,0.4466,0.93255,0.82474,0.86131,0.90831,0.69886,0.85549,0.55865,1.0094,0.000218,0.000218,0.000218
137,553.601,0.75257,0.43687,0.93138,0.82652,0.85944,0.9087,0.69796,0.85752,0.5562,1.0081,0.0002048,0.0002048,0.0002048
